ACCESS.negrisk,MRI.negrisk,GFDL.negrisk,IPSL.negrisk,MIROC5.negrisk,RoadPercentile
0.5416666666666666,0.4166666666666667,0.4,0.5142857142857142,0.555,0
0.5462962962962963,0.4166666666666667,0.4,0.6,0.575,0.1
0.5277777777777778,0.4166666666666667,0.4,0.5428571428571428,0.555,0.2
0.5231481481481481,0.4166666666666667,0.4,0.5142857142857142,0.54,0.30000000000000004
0.48148148148148145,0.25,0.4,0.4857142857142857,0.535,0.4
0.5277777777777778,0.4166666666666667,0.4,0.5142857142857142,0.55,0.5
0.5462962962962963,0.4166666666666667,0.4,0.5142857142857142,0.55,0.6000000000000001
0.5324074074074074,0.4166666666666667,0.4,0.5142857142857142,0.545,0.7000000000000001
0.5509259259259259,0.4166666666666667,0.4,0.5142857142857142,0.565,0.8
0.5416666666666666,0.4166666666666667,0.4,0.5142857142857142,0.55,0.9
0.5648148148148148,0.4166666666666667,0.4,0.5142857142857142,0.585,1
