DOWLKNUM,WB_CLASS,LON,LAT,COUNTY,SURVEYED,EWMSTATUS,avg_secchi,max_secchi,roaddensity_density_mperha,ACCESS.Curr,MIROC5.Curr,IPSL.Curr,GFDL.Curr,MRI.Curr,ACCESS.Futr,MIROC5.Futr,IPSL.Futr,GFDL.Futr,MRI.Futr,ACCESS.domain,MIROC5.domain,IPSL.domain,GFDL.domain,MRI.domain,ACCESS.GAMk3.CurrPred,GFDL.GAMk3.CurrPred,IPSL.GAMk3.CurrPred,MIROC5.GAMk3.CurrPred,MRI.GAMk3.CurrPred.x,ACCESS.GAMk3.FutrPred,GFDL.GAMk3.FutrPred,IPSL.GAMk3.FutrPred,MIROC5.GAMk3.FutrPred,MRI.GAMk3.FutrPred,ACCESS.GAMk10.CurrPred,GFDL.GAMk10.CurrPred,IPSL.GAMk10.CurrPred,MIROC5.GAMk10.CurrPred,MRI.GAMk3.CurrPred.y,ACCESS.GAMk10.FutrPred,GFDL.GAMk10.FutrPred,IPSL.GAMk10.FutrPred,MIROC5.GAMk10.FutrPred,MRI.GAMk10.FutrPred,ACCESS.RF.CurrPred,GFDL.RF.CurrPred,IPSL.RF.CurrPred,MIROC5.RF.CurrPred,MRI.RF.CurrPred,ACCESS.RF.FutrPred,GFDL.RF.FutrPred,IPSL.RF.FutrPred,MIROC5.RF.FutrPred,MRI.RF.FutrPred
1006200,Lake or Pond,478161.8144,5178526.958,Aitkin,Y,0,1.273618272,3.333333333,59.9015,1642.7369010532216,1659.3175824343334,1660.654588507005,1657.7754160324066,1554.746897235145,2049.1319341694593,2144.6033166435477,2050.8304347337144,1908.7623018444135,1896.9112375867344,Analog,Analog,Analog,Analog,Analog,0.1295025501006726,0.13239908924917104,0.1353445358383511,0.1201650799211279,0.1348560881431538,0.9641932106589366,0.719850771234868,0.9716478104008166,0.9875545532446349,0.9424178929948389,0.062224739439889945,0.05963138187849956,0.06377037789429484,0.057328091271366434,0.06622602263678881,0.9308383994818505,0.8193567408118437,0.9362583080849479,0.9308821009782462,0.9305488646308641,0.2077733333333336,0.1873666666666667,0.18862666666666672,0.19759000000000004,0.18324666666666692,0.9558366666666672,0.8343900000000003,0.9569266666666664,0.9553466666666672,0.9278666666666672
1010400,Lake or Pond,458297.0716,5163659.077,Aitkin,Y,1,2.225896296,3.1,37.9678,1727.2368241440768,1737.9333759756285,1736.23700181767,1735.5751765897332,1631.3975042710351,2135.511170811312,2239.607862013677,2140.676909569878,1992.2390725915757,1973.8081457520111,Analog,Analog,Analog,Analog,Analog,0.2649125287192812,0.25747912345063884,0.27384847906944054,0.2509245293486278,0.2842590741959595,0.992179146251368,0.9134722587716647,0.9948424070558968,0.9978253986736394,0.9869270372772383,0.2275262790681841,0.21020426000061967,0.24123646905872884,0.21729277230986185,0.258393236134531,0.951906802124627,0.9474032320238079,0.9542382260700418,0.9479119745277148,0.9608298484803827,0.63694,0.5473633333333326,0.5538233333333337,0.5676133333333326,0.5533766666666666,0.8935266666666676,0.919133333333333,0.8850166666666673,0.872133333333333,0.9072300000000008
1015700,Lake or Pond,440638.8309,5133864.451,Aitkin,Y,0,3.751983118,6.5,33.541,1551.9107861195948,1566.45667289073,1567.91503078772,1561.2566407336833,1456.3285429821717,1964.831791036814,2051.8290770357153,1967.4412389482848,1816.0164997613583,1800.2379453230626,Analog,Analog,Analog,Analog,Analog,0.15525981903367472,0.15325871698187674,0.15500755242571893,0.15896817126885132,0.15426625566925697,0.9393503114570598,0.6135958061963698,0.9485490008846369,0.978260274334656,0.8848286170096904,0.1329455619974728,0.1334047825467115,0.12848475095022827,0.13272870830201702,0.1270037453888934,0.9685337699668463,0.7010946438112737,0.9727370887818821,0.9798320170077228,0.9505199180290067,0.03486,0.03470666666666665,0.06328666666666662,0.03469999999999998,0.08981999999999994,0.9438200000000004,0.7238466666666664,0.9376300000000004,0.9159966666666678,0.930523333333334
1020400,Lake or Pond,438034.8405,5131543.537,Aitkin,Y,0,3.542339277,5.9,34.3914,1556.52042591717,1575.20339956705,1583.4573275919083,1575.904947310387,1467.4134179932637,1979.0738262532852,2066.681663069809,1983.3651569743347,1832.8356019723049,1813.1625615087269,Analog,Analog,Analog,Analog,Analog,0.1499915936001954,0.154786706978069,0.15831079067896212,0.15569358979306044,0.15394728820944412,0.9476981517606136,0.6481319456051113,0.9575307471564265,0.9814877852766613,0.8983239675604118,0.12500213696472415,0.12288104310104292,0.11986106888434687,0.12425353030976932,0.11917811897944626,0.969662157598604,0.7590710648299064,0.9738528149731429,0.9791737213916352,0.9559937049369323,0.02173666666666665,0.02139666666666666,0.01919666666666667,0.03655999999999997,0.02208333333333333,0.9320900000000004,0.7526666666666673,0.9173066666666672,0.915406666666668,0.92463
2000300,Lake or Pond,496849.0276,4996730.893,Anoka,Y,1,3.235489855,5.7,72.6983,1798.5228155732766,1832.1223084272851,1790.6550996621684,1813.105195174405,1682.4787751410115,2265.2478558414623,2388.251517815376,2265.3470691912694,2092.774595605889,2087.332096222007,NonAnalog,NonAnalog,NonAnalog,Analog,Analog,0.7289263736310988,0.7260884286363125,0.6981982993829877,0.7587833121654146,0.7056675669964809,0.9997250512602746,0.9943506778437765,0.9998232355154755,0.9999413843248984,0.9994662185402604,0.7850049578920458,0.7935367792841364,0.7537722886295388,0.8299784046076758,0.7591414698043556,0.9779041510404768,0.9871225731530536,0.9753072654140251,0.9747657702928393,0.982415822397325,0.9202600000000006,0.9249700000000012,0.8962666666666679,0.8920266666666674,0.8920600000000013,0.84452,0.9742666666666672,0.8573933333333338,0.8503400000000005,0.920733333333334
2000400,Lake or Pond,495368.9805,5003213.13,Anoka,Y,1,1.258507742,5,45.8752,1918.4535008288285,1955.268780857513,1914.7364571920516,1938.4542020954016,1811.722968419335,2389.3584527571716,2519.8480446360318,2390.365072475829,2214.155017167874,2212.039580779235,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.7233729245455163,0.7510428854525999,0.7289694479890627,0.7568294979870237,0.7500063447400027,0.9998150637007182,0.9963427639259403,0.999902653851253,0.999962809890552,0.9997012917862804,0.814284166987143,0.8384267199139374,0.8190157608472467,0.834465850726422,0.8335689564513589,0.7823794833430714,0.8756947425984524,0.7266698455694425,0.7556236268405551,0.789535889839057,0.9756833333333336,0.9815133333333336,0.9786833333333338,0.9850100000000002,0.9806866666666668,0.8669200000000005,0.9416966666666672,0.8716100000000004,0.8678766666666669,0.8676133333333339
2000500,Lake or Pond,492958.6663,5002514.791,Anoka,Y,1,0.62185567,1.5,32.6897,1933.7763904606545,1971.2601735590863,1931.20111783047,1954.2241786318757,1828.2093552812016,2405.948799084669,2537.868795000861,2407.1445461325075,2231.5603250369536,2229.7868533227133,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.6275116294409689,0.667705613011321,0.6452509446131306,0.6676994095679818,0.6680479471867464,0.9997256271531461,0.9947977925833805,0.9998611162304918,0.9999454850604825,0.9995766944721355,0.6315657011144848,0.6676191509885623,0.6497880541262249,0.6545881819119777,0.6645259116547283,0.5214121538023947,0.679718706472812,0.44507586677657024,0.4770239893252185,0.5238956700860569,0.6898933333333336,0.7318399999999993,0.7208766666666675,0.7184099999999999,0.7356600000000006,0.6393700000000008,0.727356666666666,0.6756733333333341,0.6649266666666669,0.6533000000000003
2000600,Lake or Pond,494460.8242,5001105.981,Anoka,Y,1,1.302719735,5,50.0948,2030.3845326434969,2065.9204776966417,2037.4835635857737,2056.5809632871183,1923.3568749102717,2509.1959406267342,2651.23216298325,2513.7065378344023,2328.9255913825828,2325.4273539344645,NonAnalog,NonAnalog,NonAnalog,NonAnalog,NonAnalog,0.9433319868447526,0.9563666106177253,0.9583033035815905,0.950206455890306,0.956396217792902,0.9999770546587882,0.9995209990397409,0.9999900992050509,0.9999960507454476,0.9999646199239652,0.9176062649823308,0.9195178369596491,0.9253422350418621,0.9221930263656145,0.9256512715481904,0.7227383896965798,0.828674428388137,0.6122889561799583,0.6949226751698185,0.7021286383096556,0.975943333333334,0.95698,0.979176666666667,0.9724000000000004,0.9683966666666672,0.854226666666667,0.8558899999999999,0.8641933333333335,0.8576766666666666,0.8601966666666673
2000700,Lake or Pond,491397.8256,5001777.571,Anoka,Y,1,0.558478261,1.5,54.8147,1945.4540825632632,1988.4185501794084,1946.246935787705,1969.3459719665416,1842.6123844687736,2421.3456874089475,2553.226248011574,2425.8228941917323,2248.806929126112,2250.0621765457236,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.7504820131933786,0.7888276531199648,0.7724255525105926,0.7895048443560259,0.7878112975382604,0.9998577250978214,0.997347135112169,0.9999318024196403,0.9999705160206045,0.9997975549407315,0.7332245684517069,0.7628515910198692,0.7530359755595776,0.7523392706011016,0.7603508486034009,0.5922804684494585,0.7332027629067795,0.5026866462822557,0.5413008036956471,0.577075268145192,0.7115766666666664,0.7186999999999986,0.6975766666666665,0.7208699999999992,0.7102966666666669,0.5593033333333332,0.558513333333333,0.5737333333333335,0.5622766666666664,0.55415
2002600,Lake or Pond,491522.891,5022022.941,Anoka,Y,1,1.073605522,3.05,39.2435,1913.4756867491549,1949.3842482843168,1920.1676944427463,1935.3977088252716,1807.85993776934,2375.4474833232744,2498.83803337662,2372.8041464566636,2201.6024154308193,2191.262716400121,NonAnalog,NonAnalog,NonAnalog,Analog,NonAnalog,0.6543712868621475,0.6936204744966059,0.6969068995761413,0.6903143097723923,0.6881053177391303,0.9997014956038572,0.994265916032906,0.9998309122996148,0.9999329985913631,0.9994466477639157,0.739301158449944,0.7763421251065427,0.7730987695149851,0.7635685075775945,0.767203922076855,0.7242577647425982,0.8376830796848818,0.6706497378287076,0.6959803275093962,0.7439883822598106,0.9650166666666672,0.9758566666666668,0.9689400000000004,0.9699333333333338,0.962916666666668,0.8795933333333338,0.964033333333334,0.8835533333333336,0.8787766666666672,0.8817200000000006
