DOWLKNUM,UTMX,UTMY,LON,LAT,EWMSTATUS,EWMSTATUS_corrRelFrq,max_depth,size_acres,avg_ph,avg_secchi,avg_conductance,avg_phosphorus,avg_chlorophylla,a440.cdom,allstreams_density_mperha,roaddensity_density_mperha,mean.gdd_wtr_10c,ACCESS.avg.ann.gdd,MIROC5.avg.ann.gdd,IPSL.avg.ann.gdd,GFDL.avg.ann.gdd,MRI.avg.ann.gdd
2009100,473692.683,5022636.811,-93.33587526,45.35674912,1,1,9.4488,488.627662,8.142777778,2.622070253,181.40625,0.028055556,8.42,0.47929515,4.4563,54.8945,1759.889125,1726.711569,1757.570993,1730.10309,1738.349413,1618.384613
3001000,327229.8412,5201583.145,-95.27024892,46.94526301,U,0,18.8976,471.442435,7.616666667,2.717688706,308.3333333,0.055375,8.666666667,1.2801775,1.6519,45.2689,1458.690532,1496.290774,1502.757209,1520.828832,1513.626668,1394.940367
3003000,327775.1165,5215532.625,-95.26839627,47.07083444,U,0,32.9184,385.1008088,8.06,6.357539233,310.2,0.01,1.3025,0.16765825,1.3069,33.6959,1419.681134,1475.258357,1484.527284,1508.172926,1498.822311,1377.205546
3009600,322503.4943,5216279.375,-95.33806492,47.07615281,U,0,1.8288,592.4486898,9.075,1.963181818,177,0.017,4.5,0.47370865,7.0198,17.5234,1373.279433,1380.047938,1379.396431,1394.739978,1384.707127,1285.113614
3010200,313777.5079,5202079.708,-95.44706092,46.94608733,U,0,4.572,3147.320536,8.851666667,1.844375758,266.625,0.027833333,11.52,0.2495966,5.753,19.2802,1485.399369,1545.862622,1544.82499,1564.904951,1555.427028,1440.100594
3020000,298414.3905,5199244.742,-95.64747105,46.91611241,U,0,5.1816,482.1227555,8.885,2.350267857,283.625,0.025111111,5.666666667,0.24427995,0.6414,16.2281,1493.11276,1581.716173,1581.581707,1601.64487,1597.926687,1475.228885
3024101,296242.9178,5197828.385,-95.67532382,46.9027179,U,0,4.8768,606.516333,8.74125,1.9365,275.5,0.019,4,0.2527361,2.8525,14.822,1425.807408,1449.798845,1440.393609,1454.780352,1453.068724,1338.271582
3024102,296543.155,5201305.688,-95.6729412,46.93406772,U,0,4.8768,1442.309619,8.85625,1.96991541,270.7,0.0365,15.25285714,0.7450625,3.8567,8.6022,1425.807408,1449.798845,1440.393609,1454.780352,1453.068724,1338.271582
3024200,298107.1178,5205752.9,-95.65439444,46.97452214,U,0,5,1789.754953,8.766,3.08037037,205.2,0.01975,7.5,0.34921595,5.6165,8.8543,1387.225347,1390.981592,1386.418513,1401.009524,1392.865376,1287.642792
3036600,284116.8788,5182282.733,-95.82700329,46.7591635,U,0,2,280.112591,9.463846154,1.281180556,195.1444444,0.049777778,17.69,0.6463158,3.742,38.9217,1542.521486,1555.511114,1551.352368,1564.315651,1562.946109,1448.827633
3040000,280140.3082,5191411.143,-95.8833933,46.83990926,U,0,4.572,333.9968305,9.349333333,1.492901235,335.1166667,0.054333333,11.472,0.63697255,1.9625,26.6348,1657.804106,1655.628441,1648.329428,1660.54903,1667.402319,1544.160064
3048900,275699.0777,5181987.08,-95.9369453,46.75373175,U,0,3,202.1444966,7.56,1.930789474,380,0.033,11,0.56853875,0,11.9674,1585.696288,1566.809429,1558.44597,1569.286019,1575.922175,1457.846766
4003200,385138.8669,5268671.869,-94.52690228,47.5612984,0,0,12.192,1230.437715,7.995,2.95439931,313.2,0.029285714,14.6075,2.01213015,3.4957,10.0108,1497.94855,1592.543719,1608.508133,1615.936938,1611.198737,1501.524207
4003400,386027.8351,5277152.948,-94.51729355,47.63773954,U,0,18.288,680.3549987,7.434285714,2.81881,380.8,0.014,1.815,3.9915441,3.4457,18.6014,1450.107411,1535.556927,1553.559815,1558.430926,1542.186963,1440.657383
4019800,355105.7154,5283645.935,-94.93089252,47.68994727,U,0,4,2177.250065,8.714,1.445882353,248.4,0.020333333,10.875,0.92393615,2.733,21.9665,1536.657657,1573.92145,1585.123931,1605.710571,1596.361254,1473.112903
5001300,409065.841,5064907.184,-94.16873649,45.73174306,0,0,4.8768,1310.661097,8.967857143,0.786390981,298.6022222,0.274317073,125.6741935,1.8282579,7.9252,38.7275,1780.433682,1878.027767,1909.019539,1886.302488,1898.602746,1776.701088
6000100,252568.7582,5009559.924,-96.15015212,45.19606714,U,0,2,4461.876601,8.415,0.251869091,894.2857143,0.176666667,99.9,2.221322625,9.5616,8.3964,1966.639677,1982.403775,1979.655148,1964.716053,1979.96596,1850.498823
6000200,254132.2222,5027166.37,-96.13899794,45.3548609,U,0,3.9624,1970.759868,8.786129032,0.93522869,842.8896552,0.245454545,32.16,0.412164325,2.0007,35.815,1926.967698,1943.586233,1945.077641,1932.655114,1942.334512,1816.895242
7004400,435926.3612,4893233.802,-93.80173666,44.18950702,1,1,17.3736,1447.150508,8.020420561,1.493440485,352.5143541,0.338,88.33076923,2.52860805,1.9649,73.1354,2017.327256,2046.107922,2073.051925,2031.635102,2059.160403,1921.020461
7004700,430489.1567,4898142.713,-93.87041415,44.23320001,U,0,8.2296,88.2444019,8.084,0.868495238,302.4666667,0.11675,90.21428571,2.5421874,2.8956,72.1988,2024.1369,2031.896425,2066.392656,2013.137076,2046.674215,1904.855392
7005300,434827.4838,4896424.197,-93.81588158,44.21813051,U,1,7.3152,290.4194253,8.518333333,0.934728671,341.4045455,0.125,50.54363636,1.19379,0.9266,60.1345,2070.374698,2086.412928,2117.025699,2070.65949,2099.475803,1963.362219
7005400,433248.5622,4895737.786,-93.83555834,44.21180842,1,1,16.764,370.7580457,7.96421875,1.2991152,357.7347826,0.0475,26.26,0.34361365,2.8898,65.8484,1969.958399,1974.068045,2003.390328,1955.452406,1981.388226,1850.028706
7007900,417777.2175,4857511.654,-94.02325236,43.86611618,1,1,2.4384,1358.595921,8.932162162,1.350859353,387.972093,0.149518519,49.49870968,0.5526432,0.2834,20.2353,1945.207552,2057.564518,2079.53799,2037.805886,2051.056608,1914.777653
7009800,403711.9553,4884727.433,-94.20319688,44.10939919,U,0,3.048,379.3829286,9.354444444,0.627437583,365.7,0.75925,106.3526471,1.10635795,8.7728,89.2303,2077.442394,2202.19665,2225.709542,2184.19948,2198.800644,2066.582914
8002600,371066.814,4888695.619,-94.61195575,44.14008857,U,0,7,1794.96648,8.394210526,0.786817528,526.5789474,0.136833333,33.97333333,2.3392359,3.8728,25.8975,1996.794576,2052.903444,2083.99579,2037.039607,2051.136154,1926.787834
8004500,361851.7715,4907456.409,-94.73205886,44.30723449,U,0,6.096,240.8197753,8.595,1.580006386,452.125,0.091444444,53.35,3.3117961,7.0694,64.6742,2045.665033,1990.025481,2012.109762,1965.761309,1992.252255,1863.497835
9004100,518606.6317,5143831.586,-92.7577428,46.44779979,U,0,5.1816,279.2399355,7.304615385,1.354806914,94.975,0.0365,12,9.97475955,13.5746,83.4691,1673.279216,1582.529278,1600.448097,1609.97654,1601.110533,1491.191731
10000200,458766.2128,4964838.5,-93.52168161,44.83576415,1,1,14.6304,296.2114311,7.830779221,2.220684103,554.7828326,0.16676087,24.14478776,1.84228715,6.1277,92.216,1949.313349,2025.001469,2055.532092,2023.41931,2041.551437,1911.274695
10000600,458129.278,4969419.185,-93.53011783,44.87696132,1,1,8.5344,245.0978504,7.895973154,1.534992195,486.4026846,0.178396825,35.64884,0.83670865,4.8566,126.0616,1913.247754,2026.163995,2057.245834,2027.62685,2040.160204,1912.75037
10000700,455808.8316,4969527.077,-93.55950465,44.87779239,1,1,6.4008,87.53353386,7.602941176,1.438565401,519.7271028,0.240274194,27.35489333,2.8265228,0.5267,58.2076,1954.503531,2069.576014,2098.096183,2069.360301,2081.613274,1951.734293
10001100,450798.73,4969235.101,-93.62290566,44.87483577,U,0,15.8,19.54589627,7.324,2.675242718,501.6,0.021578947,5.139186364,3.28430795,0,80.7679,1960.653676,2037.807655,2069.184466,2036.816944,2059.005501,1925.527222
10001200,455777.7334,4968803.557,-93.55983521,44.87127755,1,1,12.4968,115.7390345,7.757166667,2.898924675,446.9431894,0.201142857,9.170714286,2.08447675,4.3232,25.6257,1945.276683,2018.883431,2046.680025,2014.846671,2032.524436,1901.786986
10001300,457234.7434,4966615.391,-93.54120634,44.85166917,1,1,4.8768,88.3373631,8.121505376,1.457567917,643.5967033,0.186375,45.40274359,1.11130335,9.2388,110.723,1978.023845,2052.710002,2083.090231,2057.292274,2066.42435,1936.077098
10001800,448964.4579,4969387.824,-93.64614213,44.87608149,1,1,14.9352,106.3680505,7.606666667,1.780411765,504.7508532,0.284438596,19.9404,2.65170455,4.2585,67.7221,1894.249261,1975.129019,2002.965962,1973.44199,1984.070211,1860.104555
10001900,449417.4961,4965063.183,-93.63997539,44.83718515,1,1,19.812,166.4574833,8.123797468,2.168862253,380.7371795,0.058854839,13.75478571,1.9442584,1.6007,69.6609,1871.011767,1948.67051,1977.400785,1942.872711,1960.223236,1834.339926
10004200,442272.4131,4970141.587,-93.73094705,44.88235564,1,1,5.1816,257.9194113,8.253715596,1.067381643,339.7155963,0.11686747,91.5826087,1.3686746,10.3351,18.1459,1880.471295,1973.712037,1996.234073,1967.408161,1978.779617,1852.610221
10004300,443758.2643,4968752.578,-93.71198046,44.86997144,1,1,2,146.4453423,7.841076923,1.208,395.4482759,0.09208,75.76222222,2.882043225,6.0997,2.9742,1860.076248,1930.311696,1959.234429,1919.476156,1931.266879,1814.650994
10004401,445173.1132,4968516.596,-93.69404528,44.86795751,U,1,25.6032,144.1238524,7.617698962,2.742178218,347.6835131,0.079427273,13.42805556,2.42654545,2.5552,31.4563,1879.986307,1935.442655,1961.689691,1930.645555,1943.82392,1823.369507
10004402,446245.3759,4968215.903,-93.68044075,44.8653325,U,1,10.0584,146.4322824,7.785925926,1.603873874,379.8510638,0.0945,39.54285714,1.80211615,5.4925,47.9126,1950.269331,2017.195143,2045.889812,2019.509387,2036.260893,1908.529983
10004500,447920.1069,4968362.151,-93.659258,44.86677329,1,1,10.9728,165.8790433,7.888275862,2.200882353,437.2391045,0.050107273,16.48115385,0.3570394,6.7368,64.3282,1909.115648,1967.475935,1989.278496,1959.380147,1975.609571,1854.09925
10004600,447318.7177,4967151.333,-93.66674441,44.85582987,U,0,16.4,16.00631177,7.554516129,2.126315789,528.4242424,0.104,25.63777778,3.3964706,4.9422,113.8553,1911.345821,1965.041375,1988.604353,1955.209969,1971.937115,1851.188142
10004700,446838.2232,4967089.288,-93.67281872,44.85523571,1,1,10,19.6904205,7.602702703,1.989560976,282.8809524,0.0344,17,1.1161607,9.1113,68.87,1947.542487,2012.029604,2031.420089,1999.527818,2016.373398,1897.366945
10004800,446667.9857,4965550.873,-93.67481139,44.84137489,1,1,12.192,169.6789399,7.698355091,1.275933409,379.4490862,0.2924375,56.8037037,3.64364715,6.0802,45.0392,1894.292455,1950.205586,1970.683065,1942.489355,1952.946981,1835.899108
10005000,445592.5075,4966694.252,-93.68854108,44.85158582,U,0,4.5,43.93748095,8.105789474,2.295625,234.0555556,0.032166667,4.8,1.1786881,5.969,9.5855,1918.020951,1985.506228,2013.478383,1987.019816,1996.169297,1868.014062
10005100,443342.2151,4966526.643,-93.71699821,44.84990186,U,0,11.2,40.44622861,7.674090909,1.374666667,405.5853659,0.065333333,47.66363636,2.60992975,11.736,17.1741,1950.319415,2008.163655,2033.913506,2003.437602,2015.020047,1894.77875
10005200,441004.181,4965322.65,-93.74644335,44.83887465,1,1,10.3632,92.42099343,7.7275,1.690663725,453.1283333,0.212857143,39.67753182,2.76214385,7.5817,35.0387,1865.379529,1940.218419,1967.486111,1928.309065,1949.056276,1823.494962
10005300,444817.3462,4964659.238,-93.69812895,44.83320807,1,1,12.192,266.9114766,8.104895833,2.575627976,346.5559322,0.054163636,9.777419355,0.1683753,2.5649,29.2657,1848.768998,1927.308804,1952.646948,1919.891665,1933.482382,1812.098586
10005600,446398.2862,4970816.85,-93.67878051,44.88875641,1,1,8.7,100.4979211,7.537765957,2.66085913,368.5821596,0.043926087,13.56352941,2.4036449,0,22.3999,1886.826046,1963.940631,1990.019519,1958.493951,1971.445942,1849.576824
10005800,439049.5985,4952405.534,-93.76962514,44.72243745,U,0,1.0058,130.6853592,9.57,0.665,268,0.260818182,380,0.3796044,4.7527,19.2809,1923.977585,1975.707267,2002.229736,1961.688393,1978.622014,1854.451235
10008400,436404.8982,4966513.274,-93.80477936,44.84919664,1,1,7.0104,96.70111027,8.509857143,1.625412903,390.4981818,0.051857143,23.06673793,1.408579,8.0069,77.0026,1961.41923,2022.203167,2047.198989,2018.251805,2030.241588,1908.326947
10008800,430824.8051,4962821.211,-93.8748831,44.81544445,1,1,5.1816,222.192071,8.608552632,1.483132222,438.6112903,0.176150943,55.73013889,3.79256965,5.0221,38.0517,1985.111832,2080.386998,2096.95621,2070.965473,2088.701756,1960.896357
10008900,433543.5849,4970792.067,-93.84154575,44.88744987,U,0,3.048,302.1603194,8.749302326,0.55542623,387.1,0.143522727,95.065425,1.9550274,2.8111,24.1577,1952.251123,2090.338644,2128.747949,2089.359764,2095.650273,1975.170009
10009500,435332.1947,4975508.943,-93.81950183,44.93007182,1,1,3.11,432.8268061,8.205862069,0.656095041,288.3384615,0.3366,100.6106857,2.89691975,0,24.8976,1880.382957,1992.543171,2029.152283,1986.3006,1995.906248,1880.837367
10012100,426089.4332,4962103.69,-93.93466099,44.80851156,1,1,4.2672,183.2224942,8.9215,1.13098961,437.9211538,0.27523913,71.81404762,0.65765915,4.2857,25.3988,2008.214894,2118.66726,2141.8782,2111.686682,2126.889838,1998.860554
10021700,452122.0698,4964493.94,-93.60570511,44.83224762,1,1,6.7056,17.51242984,8.547391304,0.502546584,475.7869565,0.171863636,73.14087097,3.45,2.7754,83.5571,2048.07343,2107.887209,2140.823165,2109.739001,2123.753834,1995.751492
